CARN,COUNTY          ,CAERNARFONSHIRE                                                         ,      1001,Required by CARLOS      ,2002-01-29
CMBL,COUNTY          ,CUMBERLAND                                                              ,      1001,Required by CARLOS      ,2002-01-29
FORF,COUNTY          ,FORFARSHIRE                                                             ,      1001,Required by CARLOS      ,2002-01-29
GLAM,COUNTY          ,GLAMORGANSHIRE                                                          ,      1001,Required by CARLOS      ,2002-01-29
LANK,COUNTY          ,LANARKSHIRE                                                             ,      1001,Required by CARLOS      ,2002-01-29
MER ,COUNTY          ,MERIONETHSHIRE                                                          ,      1001,Required by CARLOS      ,2002-01-29
MDDX,COUNTY          ,MIDDLESEX                                                               ,      1001,Required by CARLOS      ,2002-01-29
PER ,COUNTY          ,PERTHSHIRE                                                              ,      1001,Required by CARLOS      ,2002-01-29
RADN,COUNTY          ,RADNORSHIRE                                                             ,      1001,Required by CARLOS      ,2002-01-29
WSUF,COUNTY          ,WEST SUFFOLK                                                            ,      1001,Required by CARLOS      ,2002-01-29
WMLD,COUNTY          ,WESTMORLAND                                                             ,      1001,Required by CARLOS      ,2002-01-29
YKS ,COUNTY          ,YORKSHIRE                                                               ,      1001,Required by CARLOS      ,2002-01-29
SSX ,COUNTY          ,SUSSEX                                                                  ,      1001,Required by CARLOS      ,2002-01-29
HUNT,COUNTY          ,HUNTINGDONSHIRE                                                         ,      1001,Required by CARLOS      ,2002-01-29
MONT,COUNTY          ,MONTGOMERYSHIRE                                                         ,      1001,Required by CARLOS      ,2002-01-29
ARGL,COUNTY          ,ARGYLLSHIRE                                                             ,      1001,Required by CARLOS      ,2002-01-29
CARD,COUNTY          ,CARDIGANSHIRE                                                           ,      1001,Required by CARLOS      ,2002-01-29
CARM,COUNTY          ,CARMARTHENSHIRE                                                         ,      1001,Required by CARLOS      ,2002-01-18
DEN ,COUNTY          ,DENBIGHSHIRE                                                            ,      1001,Required by CARLOS      ,2002-01-18
FLI ,COUNTY          ,FLINTSHIRE                                                              ,      1001,Required by CARLOS      ,2002-01-18
HER ,COUNTY          ,HEREFORD                                                                ,      1001,Required by CARLOS      ,2002-01-18
IOA ,COUNTY          ,ISLE OF ANGLESEY                                                        ,      1001,Required by CARLOS      ,2002-01-18
MIDL,COUNTY          ,MIDLOTHIAN                                                              ,      1001,Required by CARLOS      ,2002-01-18
MON ,COUNTY          ,MONMOUTHSHIRE                                                           ,      1001,Required by CARLOS      ,2002-01-18
MRY ,COUNTY          ,MORAY                                                                   ,      1001,Required by CARLOS      ,2002-01-18
PEM ,COUNTY          ,PEMBROKESHIRE                                                           ,      1001,Required by CARLOS      ,2002-01-18
RUT ,COUNTY          ,RUTLAND                                                                 ,      1001,Required by CARLOS      ,2002-01-18
STI ,COUNTY          ,STIRLING                                                                ,      1001,Required by CARLOS      ,2002-01-18
WLO ,COUNTY          ,WEST LOTHIAN                                                            ,      1001,Required by CARLOS      ,2002-01-18
WORC,COUNTY          ,WORCESTERSHIRE                                                          ,      1001,Required by CARLOS      ,2002-01-18
BREC,COUNTY          ,BRECKNOCKSHIRE                                                          ,      1001,Required by CARLOS      ,2002-01-29
FIFE,COUNTY          ,FIFE                                                                    ,      1001,ALSO A SCOTTISH REGION  ,1995-05-10
TYRN,COUNTY          ,TYRONE                                                                  ,      1001,                        ,1995-05-10
WAR ,COUNTY          ,WARWICKSHIRE                                                            ,      1001,                        ,1995-05-10
WAT ,COUNTY          ,WATERFORD                                                               ,      1001,                        ,1995-05-10
WGLA,COUNTY          ,WEST GLAMORGAN                                                          ,      1001,                        ,1995-05-10
WMID,COUNTY          ,WEST MIDLANDS                                                           ,      1001,                        ,1995-05-10
SSXW,COUNTY          ,WEST SUSSEX                                                             ,      1001,                        ,1995-05-10
WYKS,COUNTY          ,WEST YORKSHIRE                                                          ,      1001,                        ,1995-05-10
WMTH,COUNTY          ,WESTMEATH                                                               ,      1001,                        ,1995-05-10
WEXF,COUNTY          ,WEXFORD                                                                 ,      1001,                        ,1995-05-10
WKLW,COUNTY          ,WICKLOW                                                                 ,      1001,                        ,1995-05-10
WIL ,COUNTY          ,WILTSHIRE                                                               ,      1001,                        ,1995-05-10
CERD,COUNTY          ,CEREDIGION                                                              ,      1001,Required by CARLOS      ,2013-12-03
ABDN,COUNTY          ,ABERDEENSHIRE                                                           ,      1001,                        ,1996-09-02
BANF,COUNTY          ,BANFFSHIRE                                                              ,      1001,                        ,1996-09-02
ARGH,COUNTY          ,ARGYLL (IN HIGHLAND REGION)                                             ,      1001,                        ,1996-09-02
MRYH,COUNTY          ,MORAY (IN HIGHLAND REGION)                                              ,      1001,                        ,1996-09-02
NARN,COUNTY          ,NAIRNSHIRE                                                              ,      1001,                        ,1996-09-02
INVN,COUNTY          ,INVERNESS-SHIRE                                                         ,      1001,                        ,1996-09-02
R&C ,COUNTY          ,ROSS & CROMARTY                                                         ,      1001,                        ,1996-09-02
SUTH,COUNTY          ,SUTHERLAND                                                              ,      1001,                        ,1996-09-02
CAIT,COUNTY          ,CAITHNESS                                                               ,      1001,                        ,1996-09-02
POWN,COUNTY          ,POWYS (NORTH)                                                           ,      1001,                        ,1996-09-02
POWS,COUNTY          ,POWYS (SOUTH)                                                           ,      1001,                        ,1996-09-02
ANTR,COUNTY          ,ANTRIM                                                                  ,      1001,                        ,1995-05-10
ARMG,COUNTY          ,ARMAGH                                                                  ,      1001,                        ,1995-05-10
